dataset/class,train-val,test
Common_Objects,623,133
apple,5,0
banana,7,0
bed,12,0
bench,9,0
bicycle,26,10
book,36,10
bottle,53,10
bowl,24,8
car,22,10
cellphone,9,0
chair,22,10
clock,26,0
couch,3,0
cup,33,10
dining table,9,0
fork,34,10
keyboard,12,0
knife,41,10
laptop,23,0
motorcycle,5,0
mouse,25,8
potted plant,35,10
remote,18,0
spoon,54,11
sportsball,25,8
tie,25,0
trafficlight,2,0
truck,3,0
tv,1,0
wineglas,24,8
